Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.4, 'enhanced': 0.0, 'levenshtein': 0.4}, Average Accuracy: 46.64%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.4, 'enhanced': 0.1, 'levenshtein': 0.3}, Average Accuracy: 44.79%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.4, 'enhanced': 0.2, 'levenshtein': 0.2}, Average Accuracy: 41.87%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.4, 'enhanced': 0.4, 'levenshtein': 0.0}, Average Accuracy: 38.95%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.5, 'enhanced': 0.0, 'levenshtein': 0.3}, Average Accuracy: 46.54%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.5, 'enhanced': 0.1, 'levenshtein': 0.2}, Average Accuracy: 44.71%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.5, 'enhanced': 0.3, 'levenshtein': 0.0}, Average Accuracy: 40.28%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.6, 'enhanced': 0.0, 'levenshtein': 0.2}, Average Accuracy: 46.44%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.6, 'enhanced': 0.1, 'levenshtein': 0.1}, Average Accuracy: 44.64%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.6, 'enhanced': 0.2, 'levenshtein': 0.0}, Average Accuracy: 41.71%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.8, 'enhanced': 0.0, 'levenshtein': 0.0}, Average Accuracy: 46.30%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.3, 'difflib': 0.0, 'enhanced': 0.0, 'levenshtein': 0.7}, Average Accuracy: 44.95%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.3, 'difflib': 0.0, 'enhanced': 0.1, 'levenshtein': 0.6}, Average Accuracy: 41.93%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.3, 'difflib': 0.0, 'enhanced': 0.2, 'levenshtein': 0.5}, Average Accuracy: 40.38%
